day,year,mo,da,pickup_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_TRIPS
3,2014,6,18,18/06/2014,83.4,62.7,1011.7,9.7,5.6,11.1,19,89.1,71.1,0,999.9,0,472667
2,2014,6,24,24/06/2014,73.1,57.9,1019.9,10,3.8,8,18.1,81,64.9,0,999.9,0,441878
5,2014,6,13,13/06/2014,69.5,65.6,1010.1,4.1,3.4,6,999.9,79,60.1,0.21,999.9,1,496516
4,2014,6,12,12/06/2014,64.7,59.5,1017.8,6.6,4.6,8,999.9,72,60.1,0,999.9,0,498857
6,2014,6,7,07/06/2014,71,50.9,1014.5,10,2.5,6,999.9,82,60.1,0,999.9,0,504156
7,2014,6,8,08/06/2014,75,53.9,1013.5,10,2.1,8,999.9,86,60.1,0,999.9,0,434856
7,2014,6,22,22/06/2014,69.8,53.2,1014.3,10,1.5,5.1,999.9,79,62.1,0,999.9,0,430757
6,2014,6,21,21/06/2014,70.4,46.6,1013.8,10,4.7,8.9,15.9,79,62.1,0,999.9,0,473409
1,2014,6,9,09/06/2014,67.4,59.2,1013.2,4.6,3.6,6,999.9,73.9,62.6,0.64,999.9,1,440162
2,2014,7,29,29/07/2014,69.6,52.5,1009.5,10,5.3,12,20,82,64,0.19,999.9,0,422448
5,2014,7,18,18/07/2014,73.4,52.8,1021.6,10,3.6,8,999.9,81,64,0,999.9,0,460247
1,2014,7,21,21/07/2014,73.9,60.3,1021.3,9.8,1.6,4.1,999.9,84.9,64,0,999.9,0,399110
3,2014,7,16,16/07/2014,73.3,64.9,1009.3,6.6,2.5,6,999.9,86,68,1.3,999.9,0,449192
5,2014,7,11,11/07/2014,76.8,58.4,1021.4,10,3.5,8,999.9,86,72,0,999.9,0,458597
2,2014,7,15,15/07/2014,75.3,72,1008.3,4.4,2.8,7,15.9,86,72,0.46,999.9,1,436616
3,2014,7,9,09/07/2014,78.8,65,1010.1,9.8,4.9,11.1,19,86,72,0.39,999.9,0,448579
3,2014,7,2,02/07/2014,81.3,69.4,1011.3,8.6,3.5,11.1,22,91,72,0,999.9,1,439423
7,2014,7,13,13/07/2014,75.8,65.2,1017.4,9.3,4.3,8,14,82,72,0,999.9,0,410483
4,2014,7,3,03/07/2014,77.3,71.8,1013.2,5.8,2,8,22,91,72,1,999.9,1,417460
6,2014,7,19,19/07/2014,72.2,51.3,1023.7,10,4.5,6,999.9,75.9,68.5,0,999.9,0,445222
4,2014,7,31,31/07/2014,73.5,57.3,1018.3,9.8,2.5,5.1,17.1,82,63,0,999.9,0,453515
