day,year,mo,da,pickup_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_TRIPS
7,2014,12,7,07/12/2014,38.2,24.6,1028.6,9.1,10.4,15.9,31.1,50,34,1.09,999.9,0,460972
4,2014,12,25,25/12/2014,53.2,41.7,1007.1,7.7,7.3,13,25.1,62.6,48,0.86,999.9,0,210250
1,2014,12,15,15/12/2014,41.6,28.7,1016.6,10,3,7,999.9,48,37,0,999.9,0,410459
4,2014,12,4,04/12/2014,41.2,22.5,1026.2,10,5.8,9.9,21,46,37,0.05,999.9,0,458616
2,2014,12,16,16/12/2014,43.2,35.2,1018.3,8.3,2.8,7,999.9,48.9,37,0,999.9,0,439779
3,2014,12,3,03/12/2014,43.8,39.6,1021.7,5.4,6.1,12,21,46.4,41,0.09,999.9,0,438432
3,2014,12,24,24/12/2014,45.5,44.1,1014.2,3.3,5.7,8.9,14,53.1,43,0.05,999.9,0,348267
1,2014,12,1,01/12/2014,55.4,40.5,1020,9.8,5.7,8.9,18.1,64.9,45,0,999.9,0,399044
1,2014,12,29,29/12/2014,41.4,21.6,1020.3,10,4.8,9.9,18.1,54,37.9,0.1,999.9,0,339450
7,2014,12,14,14/12/2014,41,28.3,1012.2,10,5.9,12,18.1,46,37.9,0,999.9,0,441365
3,2014,12,17,17/12/2014,47.4,39.7,1010.3,6.7,4.2,9.9,20,54,37.9,0.22,999.9,0,456564
4,2014,12,18,18/12/2014,40.7,24.2,1013.5,10,7.8,11.1,25.1,54,37.9,0.02,999.9,0,482660
5,2014,12,26,26/12/2014,44.9,27.6,1021.6,10,5.6,9.9,15.9,50,39.9,0.09,999.9,0,278667
6,2014,12,27,27/12/2014,47.7,30.1,1022.9,10,3.5,7,999.9,55,39.9,0,999.9,0,323696
2,2014,12,23,23/12/2014,44.4,41.8,1020.1,4.2,7,13,22.9,46.4,42.8,0.18,999.9,0,384346
5,2014,12,12,12/12/2014,34.5,21,1013.4,10,6.2,11.1,15.9,37.9,30.9,0.01,1.2,0,497272
1,2014,12,22,22/12/2014,37.4,31.8,1025.9,8.5,5,8.9,999.9,43,30.9,0,999.9,0,382112
4,2014,12,11,11/12/2014,34.1,22.5,1005.5,8.8,7.3,12,22,39.9,30.9,0.09,999.9,0,469687
1,2014,12,8,08/12/2014,29.2,11.1,1036.7,10,8.9,13,20,42.1,24.1,0.04,999.9,0,431042
2,2014,12,9,09/12/2014,38.2,33.7,1019.3,6.3,10.4,19,27,42.1,24.1,0.53,999.9,0,437220
7,2014,12,28,28/12/2014,49.4,36.8,1014.8,9.1,5,9.9,19,55,44.1,0,999.9,0,323916
2,2014,12,2,02/12/2014,39.4,26.8,1033.3,9.3,8,13,22,44.1,35.1,0.09,999.9,0,440620
